[run number],group-dispersal-range,types,[final],[steps]
1,0,greedy,0,18794
1,0,cooperator,143,18794
2,0,greedy,0,18886
2,0,cooperator,150,18886
3,0,greedy,0,15555
3,0,cooperator,111,15555
4,0,greedy,0,12624
4,0,cooperator,143,12624
5,0,greedy,3,50000
5,0,cooperator,161,50000
6,0,greedy,0,16064
6,0,cooperator,136,16064
7,0,greedy,0,15337
7,0,cooperator,158,15337
8,0,greedy,0,18398
8,0,cooperator,145,18398
9,30,greedy,132,5190
9,30,cooperator,0,5190
10,30,greedy,140,12673
10,30,cooperator,0,12673
11,30,greedy,102,12422
11,30,cooperator,0,12422
12,30,greedy,121,8996
12,30,cooperator,0,8996
13,30,greedy,118,5196
13,30,cooperator,0,5196
14,30,greedy,123,4537
14,30,cooperator,0,4537
15,30,greedy,127,7606
15,30,cooperator,0,7606
16,30,greedy,134,8504
16,30,cooperator,0,8504
17,50,greedy,129,2830
17,50,cooperator,0,2830
18,50,greedy,140,6737
18,50,cooperator,0,6737
19,50,greedy,118,6062
19,50,cooperator,0,6062
20,50,greedy,144,5158
20,50,cooperator,0,5158
21,50,greedy,113,6056
21,50,cooperator,0,6056
22,50,greedy,129,6198
22,50,cooperator,0,6198
23,50,greedy,125,5940
23,50,cooperator,0,5940
24,50,greedy,136,6011
24,50,cooperator,0,6011
25,70,greedy,135,2128
25,70,cooperator,0,2128
26,70,greedy,125,3363
26,70,cooperator,0,3363
27,70,greedy,136,4988
27,70,cooperator,0,4988
28,70,greedy,126,3998
28,70,cooperator,0,3998
29,70,greedy,139,4694
29,70,cooperator,0,4694
30,70,greedy,121,2737
30,70,cooperator,0,2737
31,70,greedy,122,5549
31,70,cooperator,0,5549
32,70,greedy,140,5332
32,70,cooperator,0,5332
33,100,greedy,140,2995
33,100,cooperator,0,2995
34,100,greedy,130,5067
34,100,cooperator,0,5067
35,100,greedy,132,4103
35,100,cooperator,0,4103
36,100,greedy,132,4480
36,100,cooperator,0,4480
37,100,greedy,139,3094
37,100,cooperator,0,3094
38,100,greedy,143,4376
38,100,cooperator,0,4376
39,100,greedy,141,4850
39,100,cooperator,0,4850
40,100,greedy,130,4291
40,100,cooperator,0,4291
41,150,greedy,127,5421
41,150,cooperator,0,5421
42,150,greedy,128,5246
42,150,cooperator,0,5246
43,150,greedy,146,4397
43,150,cooperator,0,4397
44,150,greedy,145,5543
44,150,cooperator,0,5543
45,150,greedy,126,6105
45,150,cooperator,0,6105
46,150,greedy,128,6223
46,150,cooperator,0,6223
47,150,greedy,127,3353
47,150,cooperator,0,3353
48,150,greedy,139,2416
48,150,cooperator,0,2416
49,200,greedy,132,2278
49,200,cooperator,0,2278
50,200,greedy,123,3521
50,200,cooperator,0,3521
51,200,greedy,150,4690
51,200,cooperator,0,4690
52,200,greedy,141,5833
52,200,cooperator,0,5833
53,200,greedy,127,3676
53,200,cooperator,0,3676
54,200,greedy,128,4457
54,200,cooperator,0,4457
55,200,greedy,137,3055
55,200,cooperator,0,3055
56,200,greedy,132,1793
56,200,cooperator,0,1793
57,0,greedy,0,29704
57,0,cooperator,179,29704
58,0,greedy,0,9022
58,0,cooperator,145,9022
59,0,greedy,0,16461
59,0,cooperator,118,16461
60,0,greedy,0,18054
60,0,cooperator,147,18054
61,0,greedy,0,12332
61,0,cooperator,153,12332
62,0,greedy,0,10303
62,0,cooperator,159,10303
63,0,greedy,0,26588
63,0,cooperator,135,26588
